"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"U1,U2";"PLCC-44_THT-Socket";2;"HV5622";;;
2;"N2";"nixies-us-IN-18-DSUB";1;"Hour_Ones_IN-18";;;
3;"J2";"GPS_BN180";1;"GPS";;;
4;"D1";"D_SMB";1;"ES2F";;;
5;"L1";"L_Axial_L26.0mm_D9.0mm_P5.08mm_Vertical_Fastron_77A";1;"100uH";;;
6;"N4";"nixies-us-IN-8-2";1;"Min_Ones_IN-8-2";;;
7;"N3";"nixies-us-IN-8-2";1;"Min_Tens_IN-8-2";;;
8;"N1";"nixies-us-IN-18-DSUB";1;"Hour_Tens_IN-18";;;
9;"uP1";"pro_mini";1;"ARDUPROMINI";;;
10;"C1";"CP_Radial_Tantal_D5.5mm_P2.50mm";1;"10uF 25v";;;
11;"R7,R6";"R_Axial_DIN0309_L9.0mm_D3.2mm_P2.54mm_Vertical";2;"68k";;;
12;"C2,C3";"C_Disc_D5.0mm_W2.5mm_P2.50mm";2;"100n";;;
13;"C4";"CP_Radial_Tantal_D9.0mm_P5.00mm";1;"100uF 35v";;;
14;"C5";"CP_Radial_D8.0mm_P3.50mm";1;"4u7 250v";;;
15;"C6";"C_Rect_L10.3mm_W5.7mm_P7.50mm_MKS4";1;"100n 250v";;;
16;"J1";"BARREL_JACK";1;"Barrel_Jack";;;
17;"Q1";"TO-220-3_Vertical";1;"IRF644 PBF";;;
18;"R1";"R_2010";1;"0R100";;;
19;"R3";"R_Axial_DIN0204_L3.6mm_D1.6mm_P1.90mm_Vertical";1;"10k";;;
20;"RV1";"Potentiometer_Trimmer_Bourns_PV36W";1;"5k";;;
21;"IC1";"SOIC127P600X175-8N";1;"MAX1771ESA+";;;
22;"R4,R5";"R_Axial_DIN0414_L11.9mm_D4.5mm_P5.08mm_Vertical";2;"27k";;;
23;"R2";"R_Axial_DIN0414_L11.9mm_D4.5mm_P5.08mm_Vertical";1;"1M5";;;
